Name,Actual_WAR,Predicted_WAR
Jonathan Kelly,5.9,5.8661637
Riley Greene,3.5,4.3524065
Jose Lopez,5.5,3.8802543
Johnny Roels,-0.1,0.24807563
Greg Perkins,0.7,0.7415569
Matt Slade,2.1,0.94724315
Marcos Soto,8.0,5.7772303
Melvin Becerra,1.0,1.0555344
Matt Copeland,1.6,1.7934383
Erik Gifford,4.7,2.4754374
David Fry,1.0,1.6578764
Ian Petrutz,0.3,2.0139663
Jason Reyna,-0.1,0.003977474
Carlos Luna,-0.1,-0.41650748
Dennis Clinton,0.5,0.8666753
Dominic Canzone,0.3,1.1581393
Hugo Negron,3.6,6.426835
Jace Bohrofen,-0.3,0.8967537
Alejandro Nava,3.4,3.943677
Jaden Calhoun,1.7,1.7585472
Luis Solis,0.1,0.5072839
John Bolding,1.2,0.43204957
Bradley Moy,-0.4,0.037784174
Shohei Ohtani,6.6,7.011093
Nate Pinkerton,0.2,0.5783074
Tim Casas,-0.1,-0.08607677
Agustin Ramirez,0.6,1.4613638
Johnny Samson,0.3,0.7608172
Moises Reyes,4.6,4.2107253
Franklin Garcia,-0.1,1.3417563
Ramiro Molina,-0.2,-0.4556082
Aiichiro Yagi,0.7,0.6594383
James Outman,4.5,2.5684462
Edwin Sanchez,0.9,0.7375664
Jordan Jacobo,-0.7,0.2736869
Yoan Moncada,0.7,1.6061277
Zach Daly,-0.5,1.5653517
Jason Reyna,0.6,0.48598653
Noah Dudley,0.2,0.45270503
Orlando Espino,5.6,3.9316223
Jordan Rivera,0.4,1.0256253
Alex Roldan,1.1,2.1316743
Danny Sandoval,1.9,0.4305141
Branden Reeves,1.3,2.3391943
Juan Valentin,3.2,2.8722115
Mike Hookey,-0.5,0.8446571
Andrew Painter,-0.1,-0.47051346
Travis Bazzana,0.3,0.64153725
Chris Steibel,0.2,1.3014536
Johnny Samson,0.7,2.6303945
Jose Quijada,2.0,0.42818135
Ernesto Partida,1.6,1.7518357
Bill Wilson,-0.3,0.34365806
Brock Ketelsen,2.2,0.82537764
Kevin Kempa,1.1,2.4084432
Raul Gongora,2.8,1.0510375
Trent Harris,0.2,-0.39860794
Emmanuel Martinez,0.1,-0.38516077
Jason DeLong,2.6,2.7658374
Bo Naylor,2.6,2.9714587
Roger Montoya,2.1,0.892269
Joe Shoopman,0.8,0.25478563
Patrick Bailey,3.8,3.8086438
Brice Matthews,0.5,0.2340804
Jairo Ocampo,4.0,2.9504328
Matt Shively,0.4,1.3002852
Lars Nootbaar,3.9,3.0142226
Juan Vazquez,0.6,2.562027
Preston Lieberman,6.6,2.2792034
Steve Murphy,-0.2,0.099902295
Eric Prange,0.2,-0.4670272
Jonathan Kelly,5.3,5.0856905
Masato Chilcutt,-1.1,0.5527077
Tyler Stahl,0.1,-0.44454563
David Villanueva,4.5,5.62994
Carlos Urbina,-0.1,0.34045488
Vicente Diego,4.2,2.8936896
Ryan Jeffers,1.2,1.2135723
Ke'Bryan Hayes,-1.0,0.36865833
Mike Burnett,1.0,2.593789
Reilly Witmer,-0.2,-0.42544305
Matt Copeland,0.6,0.36836347
Preston Lieberman,2.8,2.163354
Marcos Soto,6.4,5.707435
Pat Holt,-0.7,0.33498475
Hsiao-lou Hang,1.3,0.8649245
Greg Loucks,-0.1,0.61451507
Alex Dominguez,0.5,1.0389451
Donald Martin,0.1,0.54099613
Chris Simmons,-0.2,0.49917024
Wyatt Langford,0.2,2.0738943
Jose Berrios,-0.1,-0.41701952
Daylen Lile,3.0,1.9455801
Angel Yanes,-0.1,-0.0527402
Antonio Tavarez,0.2,0.36744568
Alex Bravo,-0.2,1.4647115
Isaac Paredes,0.2,0.5595145
Yandel Ricardo,6.0,6.3889894
Joe Matson,0.1,1.0480763
Ernesto Gamez,3.2,4.124691
Brent Rooker,3.8,3.3426752
Marquos Fino,-0.1,0.43246782
Jackson Humphries,-0.3,-0.5026024
Nick Johnson,3.8,1.2480738
Ceddanne Rafaela,3.0,1.7972836
Colby Thomas,-0.1,0.858274
Jett Williams,3.9,1.6784686
Gavin Lux,0.7,1.1148534
Emilio Gallegos,-0.1,-0.04030401
Francisco Vargas,5.3,4.121146
Matt Novelli,-0.2,0.5721098
Alban Isufaj,3.2,2.1156845
Emil Morales,1.6,3.0407906
Justin Crawford,2.9,0.3709248
Seaver King,-0.1,0.12331796
Mo Mixon,4.9,3.263522
Luis Murillo,0.1,1.1167524
Ignacio Munoz,0.4,0.38720027
Gilberto Santos,1.5,2.1615777
Blake Money,-0.9,-0.4777374
Jose Rebollar,0.5,-0.1251596
PJ Morlando,-1.0,0.35198742
Matthew Boyd,0.1,-0.40274137
Rafael Devers,2.0,2.4394917
Luke Adams,1.8,2.2717972
Clint Bonk,1.3,0.58394194
Emmanuel Sanchez,2.3,2.3336189
Adam Flaming,0.2,0.54462945
Ryan Abbott,0.8,0.7438356
Erick Matos,-0.4,-0.20370294
JP Sears,-0.1,-0.46822402
Zach Dezenzo,-0.1,0.922332
Matt Burlison,3.6,3.342309
Hugo Martinez,0.1,2.5291686
Dustin Antoine,3.1,1.9547082
Colin Fisher,0.1,-0.4447296
Edwin Padilla,0.8,2.201704
Hyun-il Ye,4.0,2.3483713
Antonio Garcia,5.2,5.914764
Parker Meadows,2.7,2.8375168
Ryan Goodman,4.8,4.5889935
Yordanny Monegro,-0.7,-0.42482242
Sean Van Bibber,2.8,1.8566259
Mario Mata,1.0,-0.069107376
Malik Williams,1.3,1.9414924
Simeon Woods Richardson,-0.3,-0.38541535
Isaiah Drake,0.5,1.9471345
Phillip Glasser,0.1,0.48114502
Brant Hurter,-0.8,-0.4140404
Jesus Renteria,3.5,2.7707374
David Estrada,1.6,0.9833503
Aubrey Chappell,5.4,3.7945783
Gabe Smith,1.1,0.9423896
Mike McManus,-0.2,0.7198572
Zachery Kalan,-0.3,-0.029352719
Matt Arguelles,-0.3,0.1310286
Bobby Iglesias,0.1,0.14443272
Matt Jablonsky,-0.2,1.1823717
Bill Campbell,-0.4,0.48730087
Eddie Mendoza,1.5,0.6349503
Edgar Collazo,0.5,1.5711495
Roberto Carrillo,4.7,3.3141098
Bralyn Brazoban,2.0,0.74941355
Tony Carter,2.1,2.3646457
Ryan Randolph,2.1,0.9573394
Brady Basso,-0.4,-0.3962957
Sergio Alvarado,1.8,3.0804472
Emanuel Rodriguez,3.2,2.9958398
Mason McCoy,0.1,0.052395146
Victor Ramos,-1.0,1.5898182
Jason Herrera,2.6,1.8088341
Lazaro Estrada,-0.1,-0.472103
Bubba Scandrick,3.0,1.5810846
Mario Mata,-0.6,-0.15124822
Cory Hinman,-0.2,1.1797334
Elis Cuevas,0.9,0.2490595
Wilyer Abreu,3.8,2.56
Aaron Torres,-0.4,0.08341777
Bill Gonzalez,1.9,0.29930428
Gavin Miller,0.7,1.8387514
Aaron Pratt,0.2,1.3414515
Carlos Famoso,2.2,1.438587
Matt Lorton,0.1,0.6336497
Marcos Hammer,0.4,1.4377965
Victor Arriaga,-0.1,0.20893066
Mike Davis,0.7,0.42866254
Jose Ramirez,2.2,1.1830975
John Canida,8.2,6.795489
Carlos Salinas,4.9,2.1074088
Brady House,3.8,2.717691
Mike Friedman,0.7,0.67427456
Josh Coburn,0.7,0.21688214
Raul Gongora,1.8,3.5707843
